nom du fichier;temps_debut;temps_fin;frequence_mediane;tadarida_taxon;tadarida_probabilite;tadarida_taxon_autre;observateur_taxon;observateur_probabilite;validateur_taxon;validateur_probabilite
Car381009-2026-Pass1-Z1-2MU00693_20260728_205231_000;0.0;2.8;27.0;noise;0.29;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205231_000;0.2;2.6;31.0;Testes;0.38;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205243_000;0.0;5.0;17.0;noise;0.22;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205249_000;0.2;1.2;38.0;Leppun;0.12;noise;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205249_000;0.0;1.6;30.0;Testes;0.61;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205249_000;0.6;2.0;11.0;Tetvir;0.85;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205306_000;0.0;0.8;36.0;Leppun;0.11;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205306_000;0.0;1.7;30.0;Testes;0.53;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205322_000;0.3;1.9;22.0;noise;0.24;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205322_000;0.0;1.5;30.0;Testes;0.18;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205337_000;0.7;3.7;32.0;noise;0.34;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205337_000;0.0;3.1;30.0;Testes;0.68;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205337_000;1.7;4.3;10.0;Tetvir;0.64;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205355_000;0.2;3.7;34.0;noise;0.2;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205355_000;0.0;4.0;30.0;Testes;0.8;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205355_000;0.0;4.9;10.0;Tetvir;0.95;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205404_000;1.5;1.8;27.0;Eptser;0.05;noise, Cyrscu;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205404_000;0.0;1.5;28.0;Leppun;0.97;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205407_000;0.0;1.7;32.0;Leppun;0.95;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205407_000;0.1;1.9;27.0;noise;0.14;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_205410_000;0.0;3.1;23.0;noise;0.24;;;;;
