# Referentiel d'activite Vigie-Chiro Point Fixe (contacts/nuit)
# Source : Bas Y, Kerbiriou C, Roemer C & Julien JF (2020) Bat reference scale of activity levels (Team-Chiro / MNHN)
# https://croemer3.wixsite.com/teamchiro/reference-scales-of-activity - libre d'usage avec citation obligatoire
# national toutes-saisons = 2020 ; saisons/regions/habitats = 2023 ; genere par build_activity_ref.py
# Classes : Faible <Q25 | Moyenne Q25-Q75 | Forte Q75-Q98 | Tres forte >=Q98
code;referentiel;saison;q25;q75;q98;nbocc;confiance
Myonat;habitat:Agricole-Urbain;automne;5;20;88;94;Moderee
noise;habitat:Agricole-Urbain;automne;349;3609;7804;163;Bonne
Nyclei;habitat:Agricole-Urbain;automne;6;132;1613;128;Bonne
Nycnoc;habitat:Agricole-Urbain;automne;2;23;215;70;Moderee
Phanan;habitat:Agricole-Urbain;automne;34;889;4434;123;Bonne
Phofem;habitat:Agricole-Urbain;automne;1;1;5;19;Faible
Phogri;habitat:Agricole-Urbain;automne;8;49;719;137;Bonne
piaf;habitat:Agricole-Urbain;automne;10;122;1729;68;Moderee
Pipkuh;habitat:Agricole-Urbain;automne;14;557;4702;130;Bonne
Pipnat;habitat:Agricole-Urbain;automne;6;259;1797;119;Bonne
Pippip;habitat:Agricole-Urbain;automne;15;796;3185;146;Bonne
Pippyg;habitat:Agricole-Urbain;automne;3;39;395;91;Moderee
Plaaff;habitat:Agricole-Urbain;automne;1;2;3;2;Faible
Plaalb;habitat:Agricole-Urbain;automne;1;16;82;42;Moderee
Plaint;habitat:Agricole-Urbain;automne;4;53;488;84;Moderee
Pleaur;habitat:Agricole-Urbain;automne;2;14;49;75;Moderee
Pleaus;habitat:Agricole-Urbain;automne;4;27;165;102;Bonne
Plemac;habitat:Agricole-Urbain;automne;2;6;22;29;Faible
Ratnor;habitat:Agricole-Urbain;automne;1;2;28;23;Faible
Rhasp;habitat:Agricole-Urbain;automne;3;39;3901;30;Faible
Rhifer;habitat:Agricole-Urbain;automne;2;12;32;26;Faible
Rhihip;habitat:Agricole-Urbain;automne;4;26;155;53;Moderee
Roeroe;habitat:Agricole-Urbain;automne;1;4;164;58;Moderee
Rusnit;habitat:Agricole-Urbain;automne;2;33;2105;82;Moderee
Sepsep;habitat:Agricole-Urbain;automne;2;9;25;45;Moderee
Tadten;habitat:Agricole-Urbain;automne;4;38;547;55;Moderee
Testes;habitat:Agricole-Urbain;automne;2;9;119;105;Bonne
Tetvir;habitat:Agricole-Urbain;automne;14;156;1578;144;Bonne
Tyllil;habitat:Agricole-Urbain;automne;1;4;14;81;Moderee
Urosp;habitat:Agricole-Urbain;automne;1;10;1752;41;Moderee
Yerray;habitat:Agricole-Urbain;automne;4;29;2718;102;Bonne
Yposp;habitat:Agricole-Urbain;automne;2;20;102;110;Bonne
amph;region:Auvergne-Rhone-Alpes;automne;5;11;66;13;Faible
Antsp;region:Auvergne-Rhone-Alpes;automne;3;80;1196;3;Faible
Barbar;region:Auvergne-Rhone-Alpes;automne;5;97;1125;96;Moderee
Barfis;region:Auvergne-Rhone-Alpes;automne;1;4;15;29;Faible
Cympud;region:Auvergne-Rhone-Alpes;automne;1;14;163;11;Faible
Cyrscu;region:Auvergne-Rhone-Alpes;automne;1;5;22;44;Moderee
Epheph;region:Auvergne-Rhone-Alpes;automne;6;66;3263;44;Moderee
Eptser;region:Auvergne-Rhone-Alpes;automne;2;13;64;77;Moderee
Eupsp;region:Auvergne-Rhone-Alpes;automne;1;4;38;60;Moderee
Hypsav;region:Auvergne-Rhone-Alpes;automne;1;18;43;16;Faible
Inssp5;region:Auvergne-Rhone-Alpes;automne;1;2;4;16;Faible
Inssp7;region:Auvergne-Rhone-Alpes;automne;1;3;4;27;Faible
Isopyr;region:Auvergne-Rhone-Alpes;automne;9;42;443;15;Faible
Leppun;region:Auvergne-Rhone-Alpes;automne;3;344;6107;119;Bonne
Micagr;region:Auvergne-Rhone-Alpes;automne;1;2;6;11;Faible
Mimasp;region:Auvergne-Rhone-Alpes;automne;1;2;4;17;Faible
Minsch;region:Auvergne-Rhone-Alpes;automne;1;5;34;14;Faible
Myobec;region:Auvergne-Rhone-Alpes;automne;1;4;12;11;Faible
Myocap;region:Auvergne-Rhone-Alpes;automne;3;6;6;3;Faible
Myodau;region:Auvergne-Rhone-Alpes;automne;2;26;288;93;Moderee
Myoema;region:Auvergne-Rhone-Alpes;automne;2;9;55;78;Moderee
MyoGT;region:Auvergne-Rhone-Alpes;automne;1;5;13;18;Faible
Myomys;region:Auvergne-Rhone-Alpes;automne;4;14;41;79;Moderee
Myonat;region:Auvergne-Rhone-Alpes;automne;3;17;166;92;Moderee
noise;region:Auvergne-Rhone-Alpes;automne;93;2487;10658;164;Bonne
Nyclei;region:Auvergne-Rhone-Alpes;automne;4;31;99;96;Moderee
Nycnoc;region:Auvergne-Rhone-Alpes;automne;3;12;57;63;Moderee
Phafal;region:Auvergne-Rhone-Alpes;automne;2;8;743;10;Faible
Phanan;region:Auvergne-Rhone-Alpes;automne;3;121;1718;120;Bonne
